SkaterID,Category,JudgeScore,DifficultyRating,Firstname,SchoolName,DOB,CategoryID,MoveID,SchoolID,Gender,Surname,Move
13,Spin,4,2,Edward,Atlantic Free School,14/08/2002,SP,10,8,M,Wallace,Layback
14,Spin,4,2,Lue,Hartle Sixth Form,13/12/2006,SP,10,4,F,Sherburne,Layback
15,Spin,4,2,Marceline,Hill Academy,19/02/2000,SP,10,1,F,Doane,Layback
22,Spin,5,2,Lurlene,Canterbury Free School,19/02/2005,SP,10,2,F,Smitherman,Layback
31,Spin,5,2,Mellisa,Atlantic Free School,15/02/2001,SP,10,8,F,Telles,Layback
37,Spin,4,2,Deloise,Prospect Secondary School,26/05/2007,SP,10,3,F,David,Layback
45,Spin,5,2,Thresa,Hill Academy,21/10/2001,SP,10,1,F,Dingess,Layback
48,Spin,4,2,Arletta,Canterbury Free School,20/03/2001,SP,10,2,F,Abalos,Layback
6,Spin,1,2,Glen,Hill Academy,11/11/2003,SP,10,1,M,Derksen,Layback
9,Spin,6,2,Benita,Arch Secondary School,10/02/2001,SP,10,5,F,Arvin,Layback
13,Spin,5,3,Edward,Atlantic Free School,14/08/2002,SP,11,8,M,Wallace,Cross Foot
22,Spin,3,3,Lurlene,Canterbury Free School,19/02/2005,SP,11,2,F,Smitherman,Cross Foot
25,Spin,4,3,Darin,Hill Academy,06/12/2006,SP,11,1,M,Rather,Cross Foot
27,Spin,5,3,Fernando,Forest Secondary School,13/10/2006,SP,11,9,M,Burchfield,Cross Foot
3,Spin,2,3,Rochelle,Canterbury Free School,06/11/2002,SP,11,2,F,Meche,Cross Foot
34,Spin,2,3,Garfield,Elm Academy,01/10/2000,SP,11,6,M,Fajardo,Cross Foot
35,Spin,6,3,Tammera,Elm Academy,18/03/2005,SP,11,6,F,Parham,Cross Foot
36,Spin,2,3,Walton,Jackson Free School,10/03/2005,SP,11,7,M,Coney,Cross Foot
38,Spin,6,3,Kaitlyn,Arch Secondary School,15/02/2004,SP,11,5,F,Glessner,Cross Foot
40,Spin,3,3,Cornelia,Atlantic Free School,26/06/2007,SP,11,8,F,Shoemaker,Cross Foot
42,Spin,1,3,Kortney,Forest Secondary School,16/07/2000,SP,11,9,F,Scanlon,Cross Foot
49,Spin,1,3,Florentina,Hill Academy,22/07/2003,SP,11,1,F,Silverman,Cross Foot
9,Spin,4,3,Benita,Arch Secondary School,10/02/2001,SP,11,5,F,Arvin,Cross Foot
